rule_id,factor,category,strategy_label,open_condition,base_open_condition,close_condition,base_close_condition,open_transform,close_transform,min_hold_days_for_close,stop_loss_return,stop_loss_window,notes
chip_profit_index,指数筹码盈利,赔率/筹码,指数筹码盈利_自身年线过滤_等待确认低频版,开仓_低位均值回复_20日 + 年线<=0.5 + 5日内收涨0.3%确认 + 20日信号间隔,开仓_低位均值回复_20日,闭仓_加速度转负_10日(持仓满5日后生效) OR 2%/5日止损,闭仓_加速度转负_10日,chip_profit_index,identity,5,-0.02,5.0,低位修复买点，先用自身年线过滤，再等待短期价格确认，避免频繁开仓。
chip_profit_center,筹码盈利中枢_年线,赔率/筹码,筹码盈利中枢_年线候选_季线等待修复_月线短确认,开仓_累计上升_5日_0.5sigma；季线弱化时等待40日修复并要求月线一日回升,开仓_累计上升_5日_0.5sigma,闭仓_上方拐点_1sigma(持仓满10日后生效) OR 4%/5日止损,闭仓_上方拐点_1sigma,chip_profit_center,identity,10,-0.04,5.0,年线开仓为主；若季线仍下行，等待季线修复和月线回升。
chip_deviation,筹码乖离率_季线,赔率/筹码,筹码乖离率_季线累计修复且价格同日上涨,开仓_累计上升_5日_0.5sigma + 信号日收涨,开仓_累计上升_5日_0.5sigma,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,same_day_price_up,identity,0,,,筹码乖离季线修复，同时要求价格同日确认。
forward_valuation,远期估值,赔率/估值,远期估值_价格底背离60日,开仓_价格新低因子未确认_60日,开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振,闭仓_原始季线年线空头共振,identity,identity,0,,,非常左侧的估值底背离：价格创新低但估值因子不确认。
historical_valuation,历史估值,赔率/估值,历史估值_价格底背离60日_闭仓持仓满3日,开仓_价格新低因子未确认_60日,开仓_价格新低因子未确认_60日,闭仓_原始季线年线空头共振(持仓满3日后生效),闭仓_原始季线年线空头共振,identity,identity,3,,,历史估值底背离；闭仓信号持仓满3日后才生效。
price_diffusion,年价格扩散系数_季线,胜率/量,价格扩散系数_最优规则,开仓_价格下跌因子上升_20日,开仓_价格下跌因子上升_20日,闭仓_高位钝化转弱_5日_1sigma,闭仓_高位钝化转弱_5日_1sigma,identity,identity,0,,,价格仍弱但长期扩散开始修复，属于底部修复/背离开仓。
pb_skew,pb偏度_季线,赔率/估值,pb偏度_上穿负0.5后10日内上穿MA10,开仓_上穿_-0.5sigma后10日内价格上穿MA10,开仓_上穿_-0.5sigma,闭仓_20日振幅放大向下_1sigma,闭仓_20日振幅放大向下_1sigma,wait_price_cross_ma10_10d,identity,0,,,估值偏度修复后，等待价格站上MA10做右侧确认。
sentiment_entropy,情绪熵,胜率/量,情绪熵_扩散起点收涨确认_扩散终点退出,开仓_加速度转正_10日后5日内收涨确认,开仓_加速度转正_10日,闭仓_加速度转负_5日,闭仓_加速度转负_5日,wait_price_up_5d,identity,0,,,买扩散起点，卖扩散终点；开仓需要价格收涨承接。
turnover_diffusion,季换手扩散系数_季线,胜率/量,换手扩散系数_季线加速度转正后3日收涨确认,开仓_加速度转正_5日后3日内收涨确认,开仓_加速度转正_5日,闭仓_10日振幅放大向下_1sigma,闭仓_10日振幅放大向下_1sigma,wait_price_up_3d,identity,0,,,中期换手参与面扩散后，等待短期价格确认。
volume_factor,放量因子,胜率/量,放量因子_上穿1sigma且放量下跌等待修复,开仓_上穿_1sigma；若信号日跌幅<=-1%则3日内等收复信号日收盘价,开仓_上穿_1sigma,闭仓_加速度转负_3日,闭仓_加速度转负_3日,volume_down_wait_recover_3d,identity,0,,,躲避放量下跌；若信号日大跌，等待价格收复信号日收盘价。
fund_flow,资金流因子,胜率/资金,资金流因子_低位修复后收涨确认_资金流转弱退出,开仓_低位均值回复_20日后5日内收涨确认,开仓_低位均值回复_20日,闭仓_累计下降_5日_0.5sigma,闭仓_累计下降_5日_0.5sigma,wait_price_up_5d,identity,0,,,资金低位修复后等价格收涨，资金转弱退出。
institutional_net_buy,机构主动净买入,胜率/资金,机构主动净买入_季线低位修复_月线强势退潮退出,机构主动净买入_季线<=-0.5 + 季线5日斜率刚转正 + 信号日不大跌,开仓_低位均值回复_20日,闭仓_下穿_1.5sigma,闭仓_下穿_1.5sigma,institutional_net_buy_low_season_turn,identity,0,,,季线低位后等待5日斜率转正，并要求信号日不大跌；月线下穿1.5sigma退出。
margin_trading_ratio,融资成交占比_季线,胜率/资金,融资成交占比_季线扩张后收涨确认,开仓_累计上升_10日_1sigma后5日内收涨确认,开仓_累计上升_10日_1sigma,闭仓_下穿均线_20日,闭仓_下穿均线_20日,wait_price_up_5d,identity,0,,,融资参与扩张后等价格确认，融资参与退潮退出。
small_cap_turnover,小市值换手因子_季线,胜率/量,小市值换手因子_季线低位修复与价因子退潮,开仓_低位均值回复_60日,开仓_低位均值回复_60日,闭仓_价因子同步下降_20日 OR 5日价因子同步转弱,闭仓_价因子同步下降_20日,identity,small_cap_turnover_close,0,,,小市值换手低位修复开仓；价格和因子同步退潮退出。
up_down_volume_diff,上涨下跌量差_季线,胜率/量,上涨下跌量差_季线快版阳量优势修复且价格确认,开仓_上穿_0sigma且3日价格动量为正,开仓_上穿_0sigma,闭仓_下穿_1sigma,闭仓_下穿_1sigma,price_momentum_up_3d,identity,0,,,阳线量能优势重新转正，并要求3日价格动量为正。
